"REF_DATE","GEO","DGUID","Wages","Type of work","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196635","1.2.1.6.1.1","26.22","","","","2"
"2013","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196635","1.2.1.6.1.1","26.84","","","","2"
"2014","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196635","1.2.1.6.1.1","27.48","","","","2"
"2015","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196635","1.2.1.6.1.1","28.45","","","","2"
"2016","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196635","1.2.1.6.1.1","29.05","","","","2"
"2017","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196635","1.2.1.6.1.1","29.12","","","","2"
"2018","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196635","1.2.1.6.1.1","29.47","","","","2"
"2019","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196635","1.2.1.6.1.1","30.64","","","","2"
"2020","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196635","1.2.1.6.1.1","31.41","","","","2"
"2021","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196635","1.2.1.6.1.1","32.06","","","","2"
"2022","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196635","1.2.1.6.1.1","33.76","","","","2"
"2023","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196635","1.2.1.6.1.1","35.48","","","","2"
"2024","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Construction [23]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196635","1.2.1.6.1.1","36.66","","","","2"
"2010","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196640","1.2.1.7.1.1","23.63","","","","2"
